TransactionNo,Items,Daypart,DayType
29,Bread,Morning,Weekend
29,Jam,Morning,Weekend
30,Bread,Morning,Weekend
31,Basket,Morning,Weekend
32,Scandinavian,Morning,Weekend
32,Muffin,Morning,Weekend
33,Coffee,Morning,Weekend
34,Coffee,Morning,Weekend
34,Muffin,Morning,Weekend
35,Muffin,Morning,Weekend
35,Scandinavian,Morning,Weekend
36,Tea,Morning,Weekend
36,Bread,Morning,Weekend
37,Coffee,Morning,Weekend
37,Bread,Morning,Weekend
38,Bread,Morning,Weekend
38,Tea,Morning,Weekend
39,Scandinavian,Morning,Weekend
40,Juice,Morning,Weekend
40,Tartine,Morning,Weekend
40,Coffee,Morning,Weekend
40,Muffin,Morning,Weekend
41,Scandinavian,Morning,Weekend
42,Bread,Morning,Weekend
42,Tea,Morning,Weekend
43,Scandinavian,Afternoon,Weekend
43,Fudge,Afternoon,Weekend
44,Coffee,Afternoon,Weekend
44,Medialuna,Afternoon,Weekend
45,Coffee,Afternoon,Weekend
45,Hot chocolate,Afternoon,Weekend
45,Medialuna,Afternoon,Weekend
46,Coffee,Afternoon,Weekend
47,Ella's Kitchen Pouches,Afternoon,Weekend
47,Juice,Afternoon,Weekend
47,Bread,Afternoon,Weekend
47,Muffin,Afternoon,Weekend
47,Jam,Afternoon,Weekend
48,Coffee,Afternoon,Weekend
49,Coffee,Afternoon,Weekend
49,Coffee,Afternoon,Weekend
49,Medialuna,Afternoon,Weekend
50,Bread,Afternoon,Weekend
50,Victorian Sponge,Afternoon,Weekend
51,Bread,Afternoon,Weekend
52,Scandinavian,Afternoon,Weekend
54,Bread,Afternoon,Weekend
55,Frittata,Afternoon,Weekend
55,Coffee,Afternoon,Weekend
55,Tea,Afternoon,Weekend
55,Hearty & Seasonal,Afternoon,Weekend
56,Coffee,Afternoon,Weekend
56,Frittata,Afternoon,Weekend
57,Scandinavian,Afternoon,Weekend
58,Victorian Sponge,Afternoon,Weekend
58,Hot chocolate,Afternoon,Weekend
58,Tea,Afternoon,Weekend
58,Soup,Afternoon,Weekend
59,Tea,Afternoon,Weekend
60,Cookies,Afternoon,Weekend
60,Coffee,Afternoon,Weekend
60,Juice,Afternoon,Weekend
60,Coffee,Afternoon,Weekend
61,Coffee,Afternoon,Weekend
62,Pick and Mix Bowls,Afternoon,Weekend
62,Hearty & Seasonal,Afternoon,Weekend
62,Hearty & Seasonal,Afternoon,Weekend
62,Coffee,Afternoon,Weekend
62,Smoothies,Afternoon,Weekend
62,Coffee,Afternoon,Weekend
63,Coffee,Afternoon,Weekend
64,Cake,Afternoon,Weekend
65,Tartine,Afternoon,Weekend
65,Mighty Protein,Afternoon,Weekend
65,Tea,Afternoon,Weekend
65,Coffee,Afternoon,Weekend
66,Hearty & Seasonal,Afternoon,Weekend
66,Frittata,Afternoon,Weekend
66,Mineral water,Afternoon,Weekend
67,Hearty & Seasonal,Afternoon,Weekend
67,Mineral water,Afternoon,Weekend
67,Muffin,Afternoon,Weekend
68,Frittata,Afternoon,Weekend
68,Coffee,Afternoon,Weekend
68,Tea,Afternoon,Weekend
68,Scandinavian,Afternoon,Weekend
68,Chicken sand,Afternoon,Weekend
69,Bread,Afternoon,Weekend
69,Tea,Afternoon,Weekend
69,Victorian Sponge,Afternoon,Weekend
70,Fudge,Afternoon,Weekend
71,Muffin,Afternoon,Weekend
72,Coffee,Afternoon,Weekend
72,Bread,Afternoon,Weekend
73,Bread,Afternoon,Weekend
74,Coffee,Afternoon,Weekend
74,Bread,Afternoon,Weekend
75,Jam,Afternoon,Weekend
75,Frittata,Afternoon,Weekend
76,Coffee,Afternoon,Weekend
77,Scandinavian,Afternoon,Weekend
78,Fudge,Afternoon,Weekend
79,Fudge,Afternoon,Weekend
79,Tea,Afternoon,Weekend
79,Coffee,Afternoon,Weekend
79,Muffin,Afternoon,Weekend
80,Frittata,Afternoon,Weekend
80,Bread,Afternoon,Weekend
80,Coffee,Afternoon,Weekend
81,Coffee,Morning,Weekday
81,Cake,Morning,Weekday
82,Tartine,Morning,Weekday
82,Bread,Morning,Weekday
83,Coffee,Morning,Weekday
83,Bread,Morning,Weekday
84,Bread,Morning,Weekday
85,Coffee,Morning,Weekday
85,Coffee,Morning,Weekday
85,Pastry,Morning,Weekday
85,Medialuna,Morning,Weekday
86,Juice,Morning,Weekday
87,Bread,Morning,Weekday
88,Coffee,Morning,Weekday
88,Coffee,Morning,Weekday
88,Jam,Morning,Weekday
89,Bread,Morning,Weekday
90,Bread,Morning,Weekday
90,Coffee,Morning,Weekday
91,Tea,Morning,Weekday
92,Coffee,Morning,Weekday
93,Bread,Morning,Weekday
93,Coke,Morning,Weekday
94,Coffee,Morning,Weekday
94,Coffee,Morning,Weekday
95,Tea,Morning,Weekday
95,Pastry,Morning,Weekday
95,Farm House,Morning,Weekday
96,Pastry,Morning,Weekday
96,Pastry,Morning,Weekday
96,Coffee,Morning,Weekday
96,Juice,Morning,Weekday
97,Coffee,Morning,Weekday
97,Pastry,Morning,Weekday
97,Juice,Morning,Weekday
98,Farm House,Morning,Weekday
99,Pastry,Morning,Weekday
99,Pastry,Morning,Weekday
99,Coffee,Morning,Weekday
99,Bread,Morning,Weekday
100,Bread,Morning,Weekday
101,Coffee,Morning,Weekday
101,Pastry,Morning,Weekday
102,Farm House,Morning,Weekday
103,Bread,Morning,Weekday
104,Coffee,Morning,Weekday
104,Coffee,Morning,Weekday
104,Medialuna,Morning,Weekday
104,Muffin,Morning,Weekday
104,Coffee,Morning,Weekday
105,Coffee,Morning,Weekday
105,Tea,Morning,Weekday
105,Cake,Morning,Weekday
106,Coffee,Morning,Weekday
106,Coffee,Morning,Weekday
106,Pastry,Morning,Weekday
106,Pastry,Morning,Weekday
107,Coffee,Morning,Weekday
107,Tea,Morning,Weekday
108,Farm House,Morning,Weekday
108,Muffin,Morning,Weekday
109,Bread,Morning,Weekday
109,Muffin,Morning,Weekday
109,Pastry,Morning,Weekday
110,Pastry,Morning,Weekday
111,Coffee,Morning,Weekday
112,Coffee,Morning,Weekday
113,Coffee,Morning,Weekday
113,Cake,Morning,Weekday
114,Farm House,Morning,Weekday
115,Bread,Morning,Weekday
116,Coffee,Morning,Weekday
117,Cookies,Morning,Weekday
117,Cake,Morning,Weekday
117,Coffee,Morning,Weekday
117,My-5 Fruit Shoot,Morning,Weekday
118,Cookies,Morning,Weekday
118,Cookies,Morning,Weekday
118,Tea,Morning,Weekday
118,Pastry,Morning,Weekday
119,Coffee,Morning,Weekday
119,Coffee,Morning,Weekday
119,Muffin,Morning,Weekday
120,Farm House,Morning,Weekday
121,Coffee,Morning,Weekday
121,Bread,Morning,Weekday
122,Cookies,Morning,Weekday
123,Jam,Morning,Weekday
123,Coffee,Morning,Weekday
123,Coffee,Morning,Weekday
123,Juice,Morning,Weekday
124,Coffee,Morning,Weekday
124,Soup,Morning,Weekday
125,Tea,Morning,Weekday
126,Coffee,Morning,Weekday
126,Jam,Morning,Weekday
127,Farm House,Morning,Weekday
128,Tartine,Morning,Weekday
128,Coffee,Morning,Weekday
128,Tea,Morning,Weekday
129,Coffee,Morning,Weekday
129,Coffee,Morning,Weekday
129,Cake,Morning,Weekday
130,Coffee,Afternoon,Weekday
130,Coffee,Afternoon,Weekday
130,Muffin,Afternoon,Weekday
131,Bread,Afternoon,Weekday
131,Coffee,Afternoon,Weekday
132,Tea,Afternoon,Weekday
132,Juice,Afternoon,Weekday
132,Pick and Mix Bowls,Afternoon,Weekday
132,Cookies,Afternoon,Weekday
133,Hearty & Seasonal,Afternoon,Weekday
133,Soup,Afternoon,Weekday
134,Hearty & Seasonal,Afternoon,Weekday
134,Tea,Afternoon,Weekday
134,Farm House,Afternoon,Weekday
135,Bread,Afternoon,Weekday
136,Tea,Afternoon,Weekday
136,Soup,Afternoon,Weekday
137,Farm House,Afternoon,Weekday
138,Soup,Afternoon,Weekday
138,Hearty & Seasonal,Afternoon,Weekday
138,Coffee,Afternoon,Weekday
139,Bread,Afternoon,Weekday
139,Muffin,Afternoon,Weekday
139,Hearty & Seasonal,Afternoon,Weekday
140,Coffee,Afternoon,Weekday
140,Coffee,Afternoon,Weekday
140,Cookies,Afternoon,Weekday
141,Bread,Afternoon,Weekday
142,Tea,Afternoon,Weekday
142,Muffin,Afternoon,Weekday
143,Tea,Afternoon,Weekday
144,Soup,Afternoon,Weekday
144,Hearty & Seasonal,Afternoon,Weekday
145,Coffee,Afternoon,Weekday
145,Tea,Afternoon,Weekday
145,Focaccia,Afternoon,Weekday
146,Sandwich,Afternoon,Weekday
147,Tartine,Afternoon,Weekday
147,Coffee,Afternoon,Weekday
148,Fudge,Afternoon,Weekday
148,Coffee,Afternoon,Weekday
148,Coffee,Afternoon,Weekday
149,Coffee,Afternoon,Weekday
150,Bread,Afternoon,Weekday
151,Coke,Afternoon,Weekday
151,Soup,Afternoon,Weekday
152,Muffin,Afternoon,Weekday
153,Tea,Afternoon,Weekday
153,Coffee,Afternoon,Weekday
153,Cookies,Afternoon,Weekday
153,Muffin,Afternoon,Weekday
154,Mighty Protein,Afternoon,Weekday
154,Hearty & Seasonal,Afternoon,Weekday
154,Coffee,Afternoon,Weekday
154,Coke,Afternoon,Weekday
155,Tea,Afternoon,Weekday
155,Muffin,Afternoon,Weekday
155,Sandwich,Afternoon,Weekday
156,Coffee,Afternoon,Weekday
156,Muffin,Afternoon,Weekday
157,Coffee,Afternoon,Weekday
157,Bread,Afternoon,Weekday
158,Coffee,Afternoon,Weekday
158,Muffin,Afternoon,Weekday
159,Bread,Afternoon,Weekday
159,Hot chocolate,Afternoon,Weekday
159,Cookies,Afternoon,Weekday
160,Mineral water,Afternoon,Weekday
160,Muffin,Afternoon,Weekday
161,Tea,Afternoon,Weekday
162,Muffin,Afternoon,Weekday
163,Coffee,Afternoon,Weekday
163,Juice,Afternoon,Weekday
164,Coffee,Afternoon,Weekday
164,Muffin,Afternoon,Weekday
165,Tea,Afternoon,Weekday
166,Coffee,Afternoon,Weekday
166,Muffin,Afternoon,Weekday
167,Sandwich,Afternoon,Weekday
167,Hearty & Seasonal,Afternoon,Weekday
167,Bread,Afternoon,Weekday
167,Mineral water,Afternoon,Weekday
168,Tea,Afternoon,Weekday
168,Coffee,Afternoon,Weekday
169,Mineral water,Afternoon,Weekday
170,Coffee,Afternoon,Weekday
171,Soup,Afternoon,Weekday
171,Tea,Afternoon,Weekday
172,Bread,Evening,Weekday
172,Coffee,Evening,Weekday
173,Bread,Evening,Weekday
173,Muffin,Evening,Weekday
174,Coffee,Evening,Weekday
175,Bread,Evening,Weekday
176,Cookies,Evening,Weekday
176,Coffee,Evening,Weekday
178,Coffee,Morning,Weekday
178,Pastry,Morning,Weekday
179,Coffee,Morning,Weekday
179,Pastry,Morning,Weekday
180,Jam,Morning,Weekday
180,Tea,Morning,Weekday
181,Tea,Morning,Weekday
181,Tea,Morning,Weekday
182,Pastry,Morning,Weekday
182,Pastry,Morning,Weekday
182,Ella's Kitchen Pouches,Morning,Weekday
183,Pastry,Morning,Weekday
184,Farm House,Morning,Weekday
184,Tea,Morning,Weekday
185,Tea,Morning,Weekday
185,Victorian Sponge,Morning,Weekday
186,Tea,Morning,Weekday
186,Pastry,Morning,Weekday
187,Bread,Morning,Weekday
188,Coffee,Morning,Weekday
189,Bread,Morning,Weekday
189,Coffee,Morning,Weekday
190,Coffee,Morning,Weekday
190,Pastry,Morning,Weekday
190,Pastry,Morning,Weekday
191,Soup,Morning,Weekday
191,Tea,Morning,Weekday
192,Bread,Morning,Weekday
193,Coffee,Morning,Weekday
194,Bread,Morning,Weekday
194,Bread,Morning,Weekday
195,Bread,Morning,Weekday
195,Scandinavian,Morning,Weekday
196,Bread,Morning,Weekday
196,Cake,Morning,Weekday
196,Cookies,Morning,Weekday
197,Coffee,Morning,Weekday
197,Coffee,Morning,Weekday
197,Tea,Morning,Weekday
198,Coffee,Morning,Weekday
198,Cookies,Morning,Weekday
199,Coffee,Morning,Weekday
200,Bread,Morning,Weekday
201,Coffee,Morning,Weekday
201,Pastry,Morning,Weekday
202,Coffee,Morning,Weekday
202,Coffee,Morning,Weekday
203,Coffee,Morning,Weekday
204,Scandinavian,Morning,Weekday
204,Bread,Morning,Weekday
205,Coffee,Morning,Weekday
205,Coffee,Morning,Weekday
205,Pastry,Morning,Weekday
206,Scandinavian,Morning,Weekday
206,Coffee,Morning,Weekday
206,Pastry,Morning,Weekday
207,Hearty & Seasonal,Afternoon,Weekday
207,Coffee,Afternoon,Weekday
207,Muffin,Afternoon,Weekday
208,Bread,Afternoon,Weekday
209,Coffee,Afternoon,Weekday
210,Scandinavian,Afternoon,Weekday
211,Soup,Afternoon,Weekday
211,Coffee,Afternoon,Weekday
212,Coffee,Afternoon,Weekday
212,Cookies,Afternoon,Weekday
212,Tartine,Afternoon,Weekday
213,Bread,Afternoon,Weekday
214,Bread,Afternoon,Weekday
214,Tea,Afternoon,Weekday
214,Tea,Afternoon,Weekday
215,Pastry,Afternoon,Weekday
215,Coffee,Afternoon,Weekday
216,Tartine,Afternoon,Weekday
216,Coffee,Afternoon,Weekday
217,Bread,Afternoon,Weekday
217,Cookies,Afternoon,Weekday
218,Sandwich,Afternoon,Weekday
219,Tartine,Afternoon,Weekday
220,Bread,Afternoon,Weekday
220,Pastry,Afternoon,Weekday
221,Bread,Afternoon,Weekday
221,Scandinavian,Afternoon,Weekday
222,Scandinavian,Afternoon,Weekday
223,Alfajores,Afternoon,Weekday
223,Coffee,Afternoon,Weekday
224,Coffee,Afternoon,Weekday
225,Coffee,Afternoon,Weekday
225,Coke,Afternoon,Weekday
225,Soup,Afternoon,Weekday
226,Cake,Afternoon,Weekday
227,Tea,Afternoon,Weekday
227,Sandwich,Afternoon,Weekday
227,Soup,Afternoon,Weekday
228,Coffee,Afternoon,Weekday
229,Hearty & Seasonal,Afternoon,Weekday
229,Bread,Afternoon,Weekday
230,Alfajores,Afternoon,Weekday
231,Cake,Afternoon,Weekday
232,Tea,Afternoon,Weekday
232,Tea,Afternoon,Weekday
232,Bread,Afternoon,Weekday
233,Coffee,Afternoon,Weekday
233,Tea,Afternoon,Weekday
233,Bread,Afternoon,Weekday
233,Soup,Afternoon,Weekday
234,Coffee,Afternoon,Weekday
234,Coffee,Afternoon,Weekday
235,Scandinavian,Afternoon,Weekday
236,Fudge,Afternoon,Weekday
237,Coffee,Afternoon,Weekday
237,Sandwich,Afternoon,Weekday
238,Tea,Afternoon,Weekday
238,Bread,Afternoon,Weekday
238,Cookies,Afternoon,Weekday
238,Pastry,Afternoon,Weekday
239,Muffin,Afternoon,Weekday
240,Scandinavian,Afternoon,Weekday
241,Jam,Afternoon,Weekday
241,Tea,Afternoon,Weekday
242,Juice,Afternoon,Weekday
242,Tea,Afternoon,Weekday
242,Alfajores,Afternoon,Weekday
243,Cake,Afternoon,Weekday
243,Muffin,Afternoon,Weekday
243,Coffee,Afternoon,Weekday
243,Soup,Afternoon,Weekday
244,Hot chocolate,Afternoon,Weekday
244,Cake,Afternoon,Weekday
244,Coffee,Afternoon,Weekday
245,Cake,Afternoon,Weekday
245,Cookies,Afternoon,Weekday
246,Tea,Afternoon,Weekday
246,Bread,Afternoon,Weekday
247,Alfajores,Afternoon,Weekday
247,Coffee,Afternoon,Weekday
247,Coffee,Afternoon,Weekday
247,Coffee,Afternoon,Weekday
247,Juice,Afternoon,Weekday
248,Coffee,Afternoon,Weekday
248,Tea,Afternoon,Weekday
248,Soup,Afternoon,Weekday
249,Hot chocolate,Afternoon,Weekday
250,Cookies,Afternoon,Weekday
251,Coffee,Afternoon,Weekday
251,Medialuna,Afternoon,Weekday
252,Bread,Afternoon,Weekday
252,Eggs,Afternoon,Weekday
253,Scandinavian,Evening,Weekday
254,Medialuna,Evening,Weekday
255,Coffee,Morning,Weekday
255,Coffee,Morning,Weekday
255,Pastry,Morning,Weekday
256,Coffee,Morning,Weekday
256,Bread,Morning,Weekday
257,Bread,Morning,Weekday
257,Coffee,Morning,Weekday
257,Pastry,Morning,Weekday
258,Coffee,Morning,Weekday
258,Pastry,Morning,Weekday
259,Pastry,Morning,Weekday
260,Coffee,Morning,Weekday
261,Coffee,Morning,Weekday
262,Coffee,Morning,Weekday
262,Hot chocolate,Morning,Weekday
262,Pastry,Morning,Weekday
263,Coke,Morning,Weekday
264,Coffee,Morning,Weekday
264,Jam,Morning,Weekday
265,Tea,Morning,Weekday
266,Bread,Morning,Weekday
266,Pastry,Morning,Weekday
267,Coffee,Morning,Weekday
267,Alfajores,Morning,Weekday
267,Farm House,Morning,Weekday
268,Tea,Morning,Weekday
268,Pastry,Morning,Weekday
269,Bread,Morning,Weekday
270,Coffee,Morning,Weekday
270,Jam,Morning,Weekday
271,Coffee,Morning,Weekday
271,Tea,Morning,Weekday
271,Coffee,Morning,Weekday
271,Pastry,Morning,Weekday
272,Farm House,Morning,Weekday
274,Coffee,Morning,Weekday
274,Bread,Morning,Weekday
274,Pastry,Morning,Weekday
275,Farm House,Morning,Weekday
276,Coffee,Morning,Weekday
276,Coffee,Morning,Weekday
276,Pastry,Morning,Weekday
277,Farm House,Morning,Weekday
278,Coffee,Morning,Weekday
278,Pastry,Morning,Weekday
279,Coffee,Morning,Weekday
280,Coffee,Morning,Weekday
280,Pastry,Morning,Weekday
281,Bread,Morning,Weekday
281,Bread,Morning,Weekday
282,Bread,Morning,Weekday
282,Coffee,Morning,Weekday
282,Pastry,Morning,Weekday
283,Pastry,Morning,Weekday
283,Coffee,Morning,Weekday
284,Coffee,Morning,Weekday
284,Farm House,Morning,Weekday
285,Farm House,Morning,Weekday
285,Farm House,Morning,Weekday
285,Pastry,Morning,Weekday
286,Bread,Morning,Weekday
286,Juice,Morning,Weekday
286,Alfajores,Morning,Weekday
287,Coffee,Morning,Weekday
287,Pastry,Morning,Weekday
288,Bread,Morning,Weekday
288,Alfajores,Morning,Weekday
289,Bread,Morning,Weekday
290,Coffee,Morning,Weekday
290,Cookies,Morning,Weekday
291,Coffee,Morning,Weekday
292,Cookies,Morning,Weekday
293,Hearty & Seasonal,Morning,Weekday
294,Coffee,Morning,Weekday
295,Jam,Morning,Weekday
295,Tartine,Morning,Weekday
295,Bread,Morning,Weekday
296,Farm House,Morning,Weekday
296,Scandinavian,Morning,Weekday
297,Hearty & Seasonal,Afternoon,Weekday
297,Coffee,Afternoon,Weekday
297,Muffin,Afternoon,Weekday
297,Scandinavian,Afternoon,Weekday
298,Tartine,Afternoon,Weekday
298,Pick and Mix Bowls,Afternoon,Weekday
298,Coffee,Afternoon,Weekday
298,Coke,Afternoon,Weekday
299,Bread,Afternoon,Weekday
300,Scandinavian,Afternoon,Weekday
300,Farm House,Afternoon,Weekday
300,Alfajores,Afternoon,Weekday
300,Coffee,Afternoon,Weekday
300,Coffee,Afternoon,Weekday
301,Juice,Afternoon,Weekday
301,Mineral water,Afternoon,Weekday
301,Soup,Afternoon,Weekday
302,Soup,Afternoon,Weekday
302,Tea,Afternoon,Weekday
303,Juice,Afternoon,Weekday
303,Tea,Afternoon,Weekday
303,Cookies,Afternoon,Weekday
303,Soup,Afternoon,Weekday
304,Hearty & Seasonal,Afternoon,Weekday
304,Tea,Afternoon,Weekday
305,Fudge,Afternoon,Weekday
306,Coffee,Afternoon,Weekday
306,Mineral water,Afternoon,Weekday
306,Juice,Afternoon,Weekday
306,Soup,Afternoon,Weekday
307,Hearty & Seasonal,Afternoon,Weekday
308,Hearty & Seasonal,Afternoon,Weekday
308,Smoothies,Afternoon,Weekday
309,Hearty & Seasonal,Afternoon,Weekday
309,Tea,Afternoon,Weekday
310,Coffee,Afternoon,Weekday
310,Sandwich,Afternoon,Weekday
310,Sandwich,Afternoon,Weekday
311,Cookies,Afternoon,Weekday
311,Farm House,Afternoon,Weekday
312,Soup,Afternoon,Weekday
312,Tea,Afternoon,Weekday
312,Juice,Afternoon,Weekday
313,Soup,Afternoon,Weekday
314,Coffee,Afternoon,Weekday
316,Bread,Afternoon,Weekday
317,Cookies,Afternoon,Weekday
317,Tea,Afternoon,Weekday
318,Soup,Afternoon,Weekday
318,Hearty & Seasonal,Afternoon,Weekday
318,Bread,Afternoon,Weekday
319,Coffee,Afternoon,Weekday
320,Coffee,Afternoon,Weekday
321,Coffee,Afternoon,Weekday
321,Tea,Afternoon,Weekday
322,Bread,Afternoon,Weekday
323,Tea,Afternoon,Weekday
324,Coffee,Afternoon,Weekday
324,Tea,Afternoon,Weekday
325,Coffee,Afternoon,Weekday
326,Fudge,Afternoon,Weekday
327,Tea,Afternoon,Weekday
328,Soup,Afternoon,Weekday
328,Tea,Afternoon,Weekday
329,Juice,Afternoon,Weekday
330,Alfajores,Afternoon,Weekday
331,Bread,Afternoon,Weekday
332,Coffee,Afternoon,Weekday
332,Alfajores,Afternoon,Weekday
333,Juice,Afternoon,Weekday
333,Alfajores,Afternoon,Weekday
333,Cookies,Afternoon,Weekday
333,Pick and Mix Bowls,Afternoon,Weekday
333,Mineral water,Afternoon,Weekday
334,Coffee,Evening,Weekday
334,Alfajores,Evening,Weekday
335,Fudge,Evening,Weekday
336,Mighty Protein,Evening,Weekday
336,Juice,Evening,Weekday
337,Coffee,Evening,Weekday
337,Mineral water,Evening,Weekday
337,Alfajores,Evening,Weekday
338,Mighty Protein,Evening,Weekday
338,Coffee,Evening,Weekday
339,Alfajores,Evening,Weekday
340,Coffee,Morning,Weekday
340,Bread,Morning,Weekday
341,Medialuna,Morning,Weekday
341,Medialuna,Morning,Weekday
342,Medialuna,Morning,Weekday
342,Bread,Morning,Weekday
343,Farm House,Morning,Weekday
344,Coffee,Morning,Weekday
344,Pastry,Morning,Weekday
345,Farm House,Morning,Weekday
346,Coffee,Morning,Weekday
346,Coffee,Morning,Weekday
346,Pastry,Morning,Weekday
346,Pastry,Morning,Weekday
346,Coffee,Morning,Weekday
347,Medialuna,Morning,Weekday
348,Bread,Morning,Weekday
348,Tea,Morning,Weekday
348,Sandwich,Morning,Weekday
349,Bread,Morning,Weekday
350,Jam,Morning,Weekday
350,Coffee,Morning,Weekday
350,Farm House,Morning,Weekday
351,Focaccia,Morning,Weekday
352,Bread,Morning,Weekday
353,Tartine,Morning,Weekday
353,Pastry,Morning,Weekday
353,Bread,Morning,Weekday
353,My-5 Fruit Shoot,Morning,Weekday
354,Farm House,Morning,Weekday
354,Pastry,Morning,Weekday
355,Bread,Morning,Weekday
355,Pastry,Morning,Weekday
356,Pastry,Morning,Weekday
356,Bread,Morning,Weekday
357,Jam,Morning,Weekday
357,Coffee,Morning,Weekday
358,Farm House,Morning,Weekday
359,Bread,Morning,Weekday
359,Pastry,Morning,Weekday
360,Coffee,Morning,Weekday
360,Tea,Morning,Weekday
360,Bread,Morning,Weekday
361,Jam,Morning,Weekday
363,Pastry,Morning,Weekday
363,Medialuna,Morning,Weekday
363,Medialuna,Morning,Weekday
364,Coffee,Morning,Weekday
365,Tea,Morning,Weekday
366,Bread,Morning,Weekday
367,Bread,Morning,Weekday
367,Pastry,Morning,Weekday
368,Pastry,Morning,Weekday
369,Farm House,Morning,Weekday
370,Tea,Morning,Weekday
371,Coffee,Morning,Weekday
371,Brownie,Morning,Weekday
371,Alfajores,Morning,Weekday
371,Fudge,Morning,Weekday
372,Bread,Morning,Weekday
372,Fudge,Morning,Weekday
372,Cookies,Morning,Weekday
373,Coffee,Morning,Weekday
374,Bread,Morning,Weekday
375,Coffee,Morning,Weekday
375,Coffee,Morning,Weekday
375,Jam,Morning,Weekday
375,Pastry,Morning,Weekday
376,Soup,Morning,Weekday
376,Coffee,Morning,Weekday
377,Smoothies,Morning,Weekday
377,Soup,Morning,Weekday
377,Hearty & Seasonal,Morning,Weekday
377,Pastry,Morning,Weekday
378,Pastry,Morning,Weekday
378,Bread,Morning,Weekday
379,Pastry,Morning,Weekday
379,Medialuna,Morning,Weekday
380,Tea,Morning,Weekday
380,Coffee,Morning,Weekday
381,Bread,Morning,Weekday
381,Cookies,Morning,Weekday
382,Coffee,Afternoon,Weekday
382,Coffee,Afternoon,Weekday
382,Bread,Afternoon,Weekday
382,Hearty & Seasonal,Afternoon,Weekday
382,Pick and Mix Bowls,Afternoon,Weekday
382,Sandwich,Afternoon,Weekday
382,Focaccia,Afternoon,Weekday
383,Coffee,Afternoon,Weekday
384,Coffee,Afternoon,Weekday
384,Sandwich,Afternoon,Weekday
384,Brownie,Afternoon,Weekday
385,Brownie,Afternoon,Weekday
385,Cookies,Afternoon,Weekday
386,Coffee,Afternoon,Weekday
387,Coffee,Afternoon,Weekday
388,Sandwich,Afternoon,Weekday
388,Bread,Afternoon,Weekday
388,Coffee,Afternoon,Weekday
389,Coffee,Afternoon,Weekday
389,Hot chocolate,Afternoon,Weekday
390,Tea,Afternoon,Weekday
391,Sandwich,Afternoon,Weekday
391,Coffee,Afternoon,Weekday
391,Brownie,Afternoon,Weekday
392,Brownie,Afternoon,Weekday
392,Pastry,Afternoon,Weekday
392,Focaccia,Afternoon,Weekday
392,Farm House,Afternoon,Weekday
393,Cake,Afternoon,Weekday
393,Focaccia,Afternoon,Weekday
394,Soup,Afternoon,Weekday
394,Hearty & Seasonal,Afternoon,Weekday
394,Mineral water,Afternoon,Weekday
395,Hearty & Seasonal,Afternoon,Weekday
396,Hearty & Seasonal,Afternoon,Weekday
397,Coffee,Afternoon,Weekday
397,Coffee,Afternoon,Weekday
397,Pastry,Afternoon,Weekday
398,Coffee,Afternoon,Weekday
399,Tea,Afternoon,Weekday
399,Cake,Afternoon,Weekday
400,Coffee,Afternoon,Weekday
400,Soup,Afternoon,Weekday
401,Bread,Afternoon,Weekday
401,Focaccia,Afternoon,Weekday
401,Fudge,Afternoon,Weekday
402,Hot chocolate,Afternoon,Weekday
402,Coffee,Afternoon,Weekday
402,Alfajores,Afternoon,Weekday
403,Brownie,Afternoon,Weekday
